"STATION","NAME","DATE","TAVG","TMAX","TMIN","WESD"
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-01",,"60","39",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-02",,"54","42",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-03",,"67","46",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-04",,"47","40",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-05",,"54","40",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-06",,"61","36",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-07",,"53","43",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-08",,"64","46",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-09",,"61","45",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-10",,"58","42",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-11",,"75","56",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-12",,"73","50",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-13",,"77","54",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-14",,"75","59",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-15",,"63","33",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-16",,"49","31",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-17",,"48","36",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-18",,"49","35",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-19",,"68","41",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-20",,"60","45",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-21",,"67","41",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-22",,"71","51",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-23",,"61","44",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-24",,"62","42",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-25",,"63","44",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-26",,"67","46",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-27",,"59","47",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-28",,"67","45",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-29",,"52","43",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04-30",,"52","41",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-05-01",,"78","51",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-05-02",,"70","56",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-05-03",,"71","54",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-05-04",,"65","54",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-05-05",,"70","50",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-05-06",,"71","52",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-05-07",,"69","50",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-05-08",,"59","53",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-05-09",,"63","55",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-05-10",,"83","57",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-05-11",,"82","60",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-05-12",,"85","64",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-05-13",,"73","53",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-05-14",,"71","52",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-05-15",,"71","58",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-05-16",,"68","58",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-05-17",,"70","53",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-05-18",,"67","51",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-05-19",,"72","49",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-05-20",,"78","53",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-05-21",,"74","63",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-05-22",,"67","59",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-05-23",,"71","56",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-05-24",,"70","57",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-05-25",,"80","55",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-05-26",,"86","66",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-05-27",,"86","64",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-05-28",,"64","54",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-05-29",,"66","51",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-05-30",,"75","55",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-05-31",,"73","57",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-06-01",,"77","55",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-06-02",,"80","59",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-06-03",,"87","65",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-06-04",,"82","63",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-06-05",,"76","61",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-06-06",,"76","61",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-06-07",,"82","60",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-06-08",,"86","66",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-06-09",,"73","63",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-06-10",,"77","65",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-06-11",,"70","61",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-06-12",,"73","60",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-06-13",,"79","65",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-06-14",,"74","60",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-06-15",,"80","59",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-06-16",,"81","63",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-06-17",,"89","71",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-06-18",,"89","76",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-06-19",,"77","68",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-06-20",,"79","64",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-06-21",,"78","62",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-06-22",,"79","64",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-06-23",,"81","65",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-06-24",,"81","68",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-06-25",,"85","70",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-06-26",,"85","70",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-06-27",,"83","67",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-06-28",,"87","66",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-06-29",,"83","68",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-06-30",,"84","69",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-07-01",,"89","72",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-07-02",,"91","72",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-07-03",,"87","69",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-07-04",,"74","65",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-07-05",,"81","63",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-07-06",,"84","66",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-07-07",,"90","72",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-07-08",,"91","71",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-07-09",,"88","71",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-07-10",,"83","72",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-07-11",,"86","71",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-07-12",,"85","71",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-07-13",,"83","72",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-07-14",,"84","72",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-07-15",,"86","72",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-07-16",,"81","68",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-07-17",,"81","67",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-07-18",,"81","64",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-07-19",,"76","68",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-07-20",,"80","66",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-07-21",,"85","67",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-07-22",,"86","71",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-07-23",,"88","72",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-07-24",,"80","70",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-07-25",,"82","66",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-07-26",,"81","69",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-07-27",,"85","71",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-07-28",,"82","68",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-07-29",,"76","64",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-07-30",,"80","63",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-07-31",,"82","68",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-08-01",,"84","71",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-08-02",,"74","63",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-08-03",,"76","66",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-08-04",,"84","70",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-08-05",,"90","71",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-08-06",,"83","70",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-08-07",,"83","66",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-08-08",,"83","65",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-08-09",,"87","66",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-08-10",,"88","68",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-08-11",,"87","71",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-08-12",,"79","70",
